,Unnamed: 0.1,Unnamed: 0,date,district,n_battles,n_explosions,n_protests,n_riots,n_strategicdev,n_violcivilians,n_conflict_total
284,284,284,2020-09-01,Balcad,1.0,2.0,,,,1.0,4.0
285,285,285,2020-10-01,Balcad,4.0,1.0,,,,1.0,6.0
286,286,286,2020-11-01,Balcad,1.0,,,,,3.0,4.0
287,287,287,2020-12-01,Balcad,1.0,1.0,,,,,2.0
288,288,288,2021-01-01,Balcad,5.0,3.0,,,,,8.0
289,289,289,2021-02-01,Balcad,6.0,,,,,1.0,7.0
290,290,290,2021-03-01,Balcad,2.0,3.0,,,,,5.0
291,291,291,2021-04-01,Balcad,6.0,3.0,,,1.0,,10.0
292,292,292,2021-05-01,Balcad,2.0,1.0,,,,2.0,5.0
293,293,293,2021-06-01,Balcad,3.0,1.0,,,1.0,,5.0
294,294,294,2021-07-01,Balcad,5.0,,1.0,,,2.0,8.0
295,295,295,2021-08-01,Balcad,3.0,,,,,,3.0
296,296,296,2021-09-01,Balcad,2.0,,,,,,2.0
297,297,297,2021-10-01,Balcad,,,1.0,,,,1.0
298,298,298,2016-10-01,Banadir,11.0,13.0,,,2.0,10.0,36.0
299,299,299,2016-11-01,Banadir,15.0,7.0,,,2.0,11.0,35.0
300,300,300,2016-12-01,Banadir,14.0,14.0,,1.0,5.0,17.0,51.0
301,301,301,2017-01-01,Banadir,9.0,16.0,,,2.0,14.0,41.0
302,302,302,2017-02-01,Banadir,13.0,13.0,4.0,1.0,1.0,22.0,54.0
303,303,303,2017-03-01,Banadir,23.0,24.0,1.0,3.0,2.0,26.0,79.0
304,304,304,2017-04-01,Banadir,22.0,27.0,1.0,,,25.0,75.0
305,305,305,2017-05-01,Banadir,15.0,9.0,,1.0,3.0,20.0,48.0
306,306,306,2017-06-01,Banadir,15.0,16.0,,,7.0,18.0,56.0
307,307,307,2017-07-01,Banadir,16.0,22.0,1.0,2.0,2.0,11.0,54.0
308,308,308,2017-08-01,Banadir,7.0,15.0,2.0,1.0,4.0,20.0,49.0
309,309,309,2017-09-01,Banadir,22.0,18.0,6.0,1.0,1.0,25.0,73.0
310,310,310,2017-10-01,Banadir,19.0,20.0,6.0,2.0,4.0,23.0,74.0
311,311,311,2017-11-01,Banadir,19.0,10.0,,,2.0,13.0,44.0
312,312,312,2017-12-01,Banadir,13.0,14.0,1.0,,3.0,11.0,42.0
313,313,313,2018-01-01,Banadir,29.0,13.0,3.0,,1.0,8.0,54.0
314,314,314,2018-02-01,Banadir,33.0,12.0,1.0,,3.0,17.0,66.0
315,315,315,2018-03-01,Banadir,27.0,20.0,1.0,,2.0,14.0,64.0
316,316,316,2018-04-01,Banadir,28.0,20.0,,,2.0,13.0,63.0
317,317,317,2018-05-01,Banadir,44.0,16.0,,,2.0,23.0,85.0
318,318,318,2018-06-01,Banadir,27.0,15.0,2.0,,1.0,33.0,78.0
319,319,319,2018-07-01,Banadir,35.0,20.0,2.0,,1.0,26.0,84.0
320,320,320,2018-08-01,Banadir,27.0,16.0,2.0,1.0,,17.0,63.0
321,321,321,2018-09-01,Banadir,21.0,15.0,2.0,1.0,,20.0,59.0
322,322,322,2018-10-01,Banadir,15.0,8.0,1.0,1.0,2.0,14.0,41.0
323,323,323,2018-11-01,Banadir,22.0,17.0,,2.0,4.0,20.0,65.0
324,324,324,2018-12-01,Banadir,19.0,14.0,2.0,1.0,5.0,17.0,58.0
325,325,325,2019-01-01,Banadir,23.0,12.0,,1.0,,16.0,52.0
326,326,326,2019-02-01,Banadir,17.0,13.0,,,4.0,23.0,57.0
327,327,327,2019-03-01,Banadir,29.0,23.0,1.0,,5.0,14.0,72.0
328,328,328,2019-04-01,Banadir,19.0,21.0,3.0,1.0,2.0,11.0,57.0
329,329,329,2019-05-01,Banadir,33.0,17.0,3.0,,,29.0,82.0
330,330,330,2019-06-01,Banadir,23.0,8.0,,,1.0,16.0,48.0
331,331,331,2019-07-01,Banadir,27.0,15.0,,,3.0,10.0,55.0
332,332,332,2019-08-01,Banadir,27.0,10.0,1.0,,,7.0,45.0
333,333,333,2019-09-01,Banadir,18.0,12.0,1.0,,3.0,6.0,40.0
334,334,334,2019-10-01,Banadir,12.0,10.0,2.0,,,11.0,35.0
335,335,335,2019-11-01,Banadir,24.0,10.0,3.0,,,15.0,52.0
336,336,336,2019-12-01,Banadir,20.0,4.0,,,1.0,9.0,34.0
337,337,337,2020-01-01,Banadir,26.0,5.0,1.0,1.0,3.0,11.0,47.0
338,338,338,2020-02-01,Banadir,20.0,12.0,,,,9.0,41.0
339,339,339,2020-03-01,Banadir,29.0,16.0,2.0,,2.0,5.0,54.0
340,340,340,2020-04-01,Banadir,25.0,15.0,4.0,1.0,1.0,13.0,59.0
341,341,341,2020-05-01,Banadir,24.0,15.0,1.0,1.0,,20.0,61.0
342,342,342,2020-06-01,Banadir,18.0,9.0,1.0,1.0,2.0,13.0,44.0
343,343,343,2020-07-01,Banadir,11.0,10.0,2.0,,,11.0,34.0
344,344,344,2020-08-01,Banadir,13.0,15.0,3.0,1.0,2.0,6.0,40.0
345,345,345,2020-09-01,Banadir,14.0,15.0,1.0,1.0,1.0,8.0,40.0
346,346,346,2020-10-01,Banadir,13.0,3.0,3.0,1.0,,8.0,28.0
347,347,347,2020-11-01,Banadir,14.0,10.0,1.0,,,6.0,31.0
348,348,348,2020-12-01,Banadir,31.0,9.0,3.0,1.0,,7.0,51.0
349,349,349,2021-01-01,Banadir,29.0,11.0,3.0,,,6.0,49.0
350,350,350,2021-02-01,Banadir,21.0,8.0,1.0,,1.0,9.0,40.0
351,351,351,2021-03-01,Banadir,23.0,16.0,,,,3.0,42.0
352,352,352,2021-04-01,Banadir,26.0,12.0,5.0,,1.0,14.0,58.0
353,353,353,2021-05-01,Banadir,17.0,5.0,2.0,,,9.0,33.0
