,date,district,MAM_admissions,SAM_admissions
816,2019-12-01,Caluula,271.0,34.0
817,2020-01-01,Caluula,379.0,34.0
818,2020-02-01,Caluula,847.0,47.0
819,2020-03-01,Caluula,0.0,29.0
820,2020-04-01,Caluula,752.0,23.0
821,2020-05-01,Caluula,344.0,37.0
822,2020-06-01,Caluula,742.0,39.0
823,2020-07-01,Caluula,0.0,37.0
824,2020-08-01,Caluula,0.0,41.0
825,2020-09-01,Caluula,0.0,53.0
826,2020-10-01,Caluula,0.0,37.0
827,2020-11-01,Caluula,0.0,44.0
828,2020-12-01,Caluula,0.0,64.0
829,2021-01-01,Caluula,722.0,36.0
830,2021-02-01,Caluula,684.0,38.0
831,2021-03-01,Caluula,1058.0,56.0
832,2021-04-01,Caluula,347.0,46.0
833,2021-05-01,Caluula,1206.0,52.0
834,2021-06-01,Caluula,918.0,48.0
835,2021-07-01,Caluula,895.0,57.0
836,2021-08-01,Caluula,718.0,56.0
837,2021-09-01,Caluula,738.0,59.0
838,2021-10-01,Caluula,736.0,63.0
839,2021-11-01,Caluula,186.0,55.0
840,2019-01-01,Caynabo,58.0,4.0
841,2019-02-01,Caynabo,108.0,12.0
842,2019-03-01,Caynabo,115.0,80.0
843,2019-04-01,Caynabo,94.0,26.0
844,2019-05-01,Caynabo,243.0,60.0
845,2019-06-01,Caynabo,110.0,28.0
846,2019-07-01,Caynabo,158.0,131.0
847,2019-08-01,Caynabo,94.0,54.0
848,2019-09-01,Caynabo,509.0,84.0
849,2019-10-01,Caynabo,140.0,51.0
850,2019-11-01,Caynabo,182.0,103.0
851,2019-12-01,Caynabo,165.0,94.0
852,2020-01-01,Caynabo,327.0,42.0
853,2020-02-01,Caynabo,478.0,54.0
854,2020-03-01,Caynabo,203.0,52.0
855,2020-04-01,Caynabo,331.0,80.0
856,2020-05-01,Caynabo,156.0,91.0
857,2020-06-01,Caynabo,557.0,77.0
858,2020-07-01,Caynabo,828.0,85.0
859,2020-08-01,Caynabo,420.0,104.0
860,2020-09-01,Caynabo,422.0,114.0
861,2020-10-01,Caynabo,436.0,118.0
862,2020-11-01,Caynabo,207.0,124.0
863,2020-12-01,Caynabo,517.0,66.0
864,2021-01-01,Caynabo,215.0,65.0
865,2021-02-01,Caynabo,395.0,94.0
866,2021-03-01,Caynabo,269.0,99.0
867,2021-04-01,Caynabo,768.0,132.0
868,2021-05-01,Caynabo,738.0,110.0
869,2021-06-01,Caynabo,579.0,185.0
870,2021-07-01,Caynabo,425.0,124.0
871,2021-08-01,Caynabo,726.0,131.0
872,2021-09-01,Caynabo,613.0,117.0
873,2021-10-01,Caynabo,430.0,121.0
874,2021-11-01,Caynabo,556.0,98.0
875,2019-01-01,Ceel Afweyn,150.0,38.0
876,2019-02-01,Ceel Afweyn,1307.0,20.0
877,2019-03-01,Ceel Afweyn,0.0,14.0
878,2019-04-01,Ceel Afweyn,2242.0,23.0
