,date,district,prevalence,next_prevalence,prevalence_6lag,ndvi,ipc,population,month,district_encoded,increase
576,2018-02-01,Ceel Waaq,0.3925999999999998,0.3925999999999998,0.4315999999999999,0.24,0.0,32041.53,2,34,True
577,2018-02-01,Baki,0.169,0.169,0.3796,0.12,0.1,70268.22,2,7,True
579,2018-02-01,Jowhar,0.351,0.351,0.3692000000000001,0.26,0.0,279295.785,2,52,True
580,2018-02-01,Hargeysa,0.1975999999999999,0.1975999999999999,0.3425891325819686,0.0,0.14,1027923.705,2,45,True
581,2018-02-01,Lughaye,0.169,0.169,0.3796,0.09,0.36,70268.22,2,58,True
582,2018-02-01,Ceel Dheer,0.4211999999999999,0.4211999999999999,0.52,0.18,0.19,130366.52999999998,2,33,True
583,2018-02-01,Burtinle,0.3795999999999999,0.3795999999999999,0.4524000000000001,0.16,0.08,112734.27,2,22,True
584,2018-02-01,Galdogob,0.4004,0.4004,0.4732,0.17,0.12,85807.70999999999,2,41,True
585,2018-02-01,Sheikh,0.2028,0.2028,0.3406,0.19,0.07,62404.28999999999,2,70,True
586,2018-02-01,Baraawe,0.3510000000000001,0.3510000000000001,0.3692000000000001,0.22,0.29,69703.11,2,11,True
587,2018-02-01,Jamaame,0.3926,0.3926,0.4316000000000001,0.32,0.25,169536.10499999998,2,49,True
588,2018-02-01,Zeylac,0.1689999999999999,0.1689999999999999,0.3796,0.1,0.57,64412.19,2,78,True
589,2018-02-01,Xudur,0.4862,0.4862,0.4862,0.2,0.14,113853.105,2,77,True
590,2018-02-01,Kurtunwaarey,0.3510000000000001,0.3510000000000001,0.3691999999999999,0.36,0.18,95730.255,2,54,True
592,2018-03-01,Afmadow,0.3925999999999999,0.3925999999999999,0.4206678541919456,0.27,0.01,67386.78,3,2,True
593,2018-03-01,Marka,0.351,0.351,0.3692,0.27,0.03,282222.765,3,60,True
594,2018-03-01,Burtinle,0.3795999999999999,0.3795999999999999,0.4524000000000001,0.16,0.08,112734.27,3,22,True
595,2018-03-01,Garoowe,0.3795999999999999,0.3795999999999999,0.458347673913086,0.12,0.08,188544.915,3,43,True
596,2018-03-01,Qandala,0.3431999999999999,0.3431999999999999,0.4055999999999999,0.15,0.21,75823.06499999999,3,62,True
597,2018-03-01,Owdweyne,0.2028,0.2028,0.3406,0.15,0.3,78004.845,3,61,True
598,2018-03-01,Lughaye,0.169,0.169,0.3796,0.09,0.36,70268.22,3,58,True
599,2018-03-01,Garbahaarey,0.3925999999999999,0.3925999999999999,0.4316,0.23,0.0,91374.975,3,42,True
600,2018-03-01,Caynabo,0.2911999999999999,0.2911999999999999,0.442,0.13,0.31,69235.29,3,29,True
601,2018-03-01,Balcad,0.351,0.351,0.3692,0.23,0.0,141077.745,3,8,True
602,2018-03-01,Badhaadhe,0.3926,0.3926,0.4316000000000001,0.36,0.09,50723.28,3,4,True
603,2018-03-01,Hargeysa,0.1975999999999999,0.1975999999999999,0.3425891325819686,0.0,0.14,1027923.705,3,45,True
604,2018-03-01,Bu'aale,0.3925999999999999,0.3925999999999999,0.4316,0.32,0.0,93543.3,3,19,True
605,2018-03-01,Baraawe,0.3510000000000001,0.3510000000000001,0.3692000000000001,0.21,0.29,69703.11,3,11,True
606,2018-03-01,Doolow,0.3926,0.3926,0.4356257436740676,0.18,0.0,42455.7,3,38,True
607,2018-03-01,Wanla Weyn,0.351,0.351,0.3692,0.22,0.0,227667.915,3,74,True
609,2018-03-01,Waajid,0.4861999999999999,0.4861999999999999,0.4861999999999999,0.2,0.11,85276.75499999999,3,73,True
610,2018-03-01,Borama,0.1690000000000001,0.1690000000000001,0.3795999999999999,0.15,0.04,491879.61,3,17,True
