,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc_x,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,6lag_next_prevalence,prevalence_6lag,next_prevalence,prevalence_1lag,month,increase,increase_numeric,district_encoded
70,2017-07-01,Hargeysa,1071923.705,214384.741,73445.88245800001,55654.83200680001,17791.050451200004,0.3425891325819686,0.0829865519729317,0.08,5.51,0.0,12.0,7.0,3.0,9.521626,44.28073,0.1975999999999999,,0.3425891325819686,,7,True,0.0,45
71,2017-07-01,Buuhoodle,71317.70999999999,14263.542,4858.162405200002,3652.893106200001,1205.269299,0.3406000000000001,0.0845,0.37,2.44,0.23,,2.0,1.0,8.460162,46.66129,0.2027999999999999,,0.3406000000000001,,7,True,0.0,23
72,2017-07-01,Jilib,103739.085,20747.817,8954.757817200001,7606.149712200001,1348.608105,0.4316000000000001,0.065,0.14,38.42,0.57,30.0,7.0,4.0,0.6450100000000001,43.05589000000001,0.3925999999999999,,0.4316000000000001,,7,True,0.0,51
73,2017-07-01,Belet Weyne,281126.69999999995,56225.34,24120.67086,19442.722572,4677.9482880000005,0.429,0.0832,0.42,7.17,0.22,20.0,10.0,13.0,4.724339,45.37965,0.3926,,0.429,,7,True,0.0,13
74,2017-08-01,Burtinle,112734.27,22546.854,10200.196749600002,8500.163958,1700.0327915999997,0.4524000000000001,0.0753999999999999,0.22,0.89,0.16,,1.0,,7.802199000000001,48.39912,0.3795999999999999,,0.4524000000000001,0.4524000000000001,8,True,0.0,22
75,2017-08-01,Kurtunwaarey,95730.255,19146.051,7068.722029199998,5475.770585999999,1592.9514432,0.3691999999999999,0.0832,0.17,17.8,0.39,,6.0,2.0,1.674606,44.06695,0.3510000000000001,,0.3691999999999999,0.3691999999999999,8,True,0.0,54
76,2017-08-01,Gebiley,146038.5,29207.7,9872.2026,7442.121959999999,2430.08064,0.338,0.0831999999999999,0.15,55.42,0.17,10.5,4.0,1.0,9.859568,43.68093,0.1975999999999999,,0.338,0.338,8,True,0.0,44
77,2017-08-01,Buuhoodle,71317.70999999999,14263.542,4858.162405200002,3652.893106200001,1205.269299,0.3406000000000001,0.0845,0.37,0.49,0.19,,4.0,5.0,8.460162,46.66129,0.2027999999999999,,0.3406000000000001,0.3406000000000001,8,True,0.0,23
78,2017-08-01,Diinsoor,100108.305,20021.661,7183.771966800001,4945.350267000002,2238.4216998,0.3588,0.1118,0.39,9.4,0.3,40.0,6.0,3.0,2.102024,42.90189,0.2886000000000001,,0.3588,0.3588,8,True,0.0,37
79,2017-08-01,Ceel Afweyn,137053.66499999998,27410.733,12186.811891799998,9585.5333301,2601.2785616999995,0.4446,0.0949,0.38,4.11,0.12,,4.0,1.0,10.14797,46.68845,0.3367,,0.4446,0.4446,8,True,0.0,30
80,2017-08-01,Jariiban,83205.71999999999,16641.143999999997,7874.589340799997,6316.978262399999,1557.611078399999,0.4731999999999999,0.0935999999999999,0.38,0.15,0.14,,3.0,,7.163778999999999,48.9986,0.4004,,0.4731999999999999,0.4731999999999999,8,True,0.0,50
