,date,district,prevalence,next_prevalence,ndvi,ipc,population,rainfall,month,total_alarms,district_encoded
118,2018-01-01,Lughaye,0.169,0.4196119285022721,0.0833333333333333,0.36,70268.22,6.658333333333334,1,3.5,58
119,2018-01-01,Ceel Dheer,0.4211999999999999,0.3142399717243435,0.2066666666666666,0.19,130366.52999999998,21.86666666666667,1,2.333333333333333,33
120,2018-01-01,Berbera,0.1976,0.2949701973955382,0.105,0.17,111510.9,9.226666666666668,1,1.6666666666666667,16
121,2018-01-01,Luuq,0.3926,0.4123022966960434,0.1883333333333333,0.0,100476.765,23.28,1,5.833333333333333,59
122,2018-01-01,Xudur,0.4862,0.4689020964811947,0.2483333333333333,0.14,113853.105,20.7,1,8.5,75
123,2018-01-01,Baidoa,0.2886,0.6333880388856111,0.365,0.06,430013.52,29.305000000000003,1,11.166666666666666,6
124,2018-01-01,Qandala,0.3431999999999999,0.4649012053458273,0.1583333333333333,0.21,75823.06499999999,9.72,1,1.8333333333333333,62
126,2018-01-01,Garbahaarey,0.3925999999999999,0.345678336354725,0.2533333333333333,0.0,91374.975,25.72833333333333,1,1.6666666666666667,42
127,2018-01-01,Adan Yabaal,0.3510000000000001,0.2789393906990287,0.225,0.0,65262.95999999999,25.348333333333333,1,3.6666666666666665,0
128,2018-01-01,Eyl,0.3795999999999999,0.456573523755734,0.1516666666666666,0.17,105162.21,5.705000000000001,1,1.8333333333333333,39
129,2018-01-01,Sheikh,0.2028,0.2505864840856458,0.1816666666666666,0.07,62404.28999999999,20.775,1,0.5,68
130,2018-01-01,Xarardheere,0.4004000000000001,0.3447106682656731,0.1816666666666666,0.09,278193.50999999995,16.915000000000003,1,4.333333333333333,73
131,2018-01-01,Belet Weyne,0.3926,0.4637281725694139,0.2283333333333333,0.24,281126.69999999995,20.93166666666667,1,7.666666666666667,13
132,2018-01-01,Galdogob,0.4004,0.4695085383288688,0.19,0.12,85807.70999999999,14.243333333333332,1,2.333333333333333,41
133,2018-01-01,Diinsoor,0.2886000000000001,0.4769534198876959,0.345,0.09,100108.305,29.26,1,7.833333333333333,37
134,2018-01-01,Waajid,0.4861999999999999,0.4748949097855825,0.25,0.11,85276.75499999999,28.575,1,6.0,71
135,2018-01-01,Tayeeglow,0.4861999999999999,0.3502607787971933,0.3116666666666667,0.08,99175.77,20.426666666666662,1,4.0,70
136,2018-01-01,Doolow,0.3926,0.5392512067568789,0.2016666666666666,0.0,42455.7,18.03333333333333,1,1.5,38
137,2018-01-01,Taleex,0.2912,0.2547557920787028,0.1166666666666666,0.37,57175.47,9.048333333333334,1,1.6666666666666667,69
138,2018-01-01,Saakow,0.3925999999999999,0.3717999999999999,0.295,0.0,178339.81499999997,35.08833333333333,1,2.833333333333333,67
139,2018-01-01,Bandarbeyla,0.3432000000000001,0.499901764184284,0.1333333333333333,0.15,27594.135,7.66,1,2.0,10
140,2018-01-01,Baraawe,0.3510000000000001,0.4309610549243231,0.3408333333333333,0.29,69703.11,25.896666666666665,1,3.5,11
141,2018-01-01,Balcad,0.351,0.3580405856281527,0.29,0.0,141077.745,24.646666666666665,1,5.833333333333333,8
142,2018-01-01,Baraawe,0.3510000000000001,0.3510000000000001,0.3408333333333333,0.29,62978.715,25.896666666666665,1,3.5,11
143,2018-01-01,Wanla Weyn,0.351,0.3788174337777663,0.2616666666666666,0.0,227667.915,21.883333333333336,1,7.5,72
145,2018-01-01,Belet Xaawo,0.3926,0.3942363701220913,0.2699999999999999,0.0,89717.93999999997,22.206666666666667,1,6.833333333333333,15
146,2018-01-01,Baki,0.169,0.2761092768701464,0.135,0.1,70268.22,14.835,1,1.5,7
147,2018-01-01,Garoowe,0.3795999999999999,0.5170266990935967,0.14,0.08,188544.915,10.928333333333333,1,7.0,43
148,2018-07-01,Galdogob,0.4695085383288688,0.4017369795363936,0.1933333333333333,0.09,96228.94625799869,22.26833333333333,7,0.5,41
149,2018-07-01,Cabudwaaq,0.4299665440197571,0.3232371835699271,0.245,0.17,148952.26299964866,31.296666666666667,7,5.0,25
150,2018-07-01,Buuhoodle,0.226129551832888,0.188847667729668,0.2366666666666666,0.07,114678.62295159738,24.96666666666667,7,1.3333333333333333,23
